tt,Page,BrandLocale,EL-JP,MC-JP,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP,TF-JP
1,PAYMENT,CreditCardPan2,,,,,,,,,
1,PAYMENT,CreditCardPan3,,,,,,,,,
1,PAYMENT,CreditCardPan4,,,,,,,,,
1,PAYMENT,ExpDateId,"//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]"
1,PAYMENT,CVVid,//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode'],//*[@data-fieldtype='encryptedSecurityCode']
1,PAYMENT,creditcardMonthDD,,,,,,,,,
1,PAYMENT,creditcardYearDD,,,,,,,,,
1,PAYMENT,creditcardBank,,,,,,,,,
1,PAYMENT,TnCPaymentPage,,,,,,,,,
1,PAYMENT,PayButtonId,//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content'],//*[@class='adyen-checkout__button__content']
1,PAYMENT,creditcardHover,,,,,,,,,
1,PAYMENT,creditcardradio,,,,,,,,,
1,PAYMENT,paymentMethodDD,,,,,,,,,
1,PAYMENT,WAITFORTEXT,,,,,,,,,
1,ORDERCONF,orderId,"//*[contains(@data-test-id,'order_id')]","//*[contains(@data-test-id,'order_id')]",//*[@id='confirmation-panel']/div[2]/p[1],"//*[contains(@data-test-id,'order_id')]","//*[contains(@data-test-id,'order_id')]","//*[contains(@data-test-id,'order_id')]","//*[contains(@data-test-id,'order_id')]","//*[contains(@data-test-id,'order_id')]","//*[contains(@data-test-id,'order_id')]"
1,VIEWCART,LoginID,,"//*[contains(@href,'/account/index.tmpl')]",.header-gnav-account-link__text.header-gnav-account-link--anon.js-header-gnav-account-link--anon,//a[@href='/account/signin.tmpl'],//*[@href='/account/signin.tmpl'],"//*[contains(@href,'/account/index.tmpl')]",//*[@href='/account/signin.tmpl'],"//*[contains(@class,'site-header-formatter__account')]//*[contains(@class,'js-gnav-utility-item-trigger')]",
1,VIEWCART,MOBLoginID,,"//*[contains(@href,'/account/index.tmpl')]",.header-gnav-account-link__text.header-gnav-account-link--anon.js-header-gnav-account-link--anon,//a[@href='/account/signin.tmpl'],//*[@href='/account/signin.tmpl'],"//*[contains(@href,'account/index.tmpl')]","//*[contains(@href,'/account/index.tmpl')]","//*[contains(@href,'/account/index.tmpl')]",
1,VIEWCART,GnavLoginID,//span[@data-test-id='gnav_account_menu_login'],,,,,,,,//span[@data-test-id='gnav_account_menu_login']
1,VIEWCART,GnavMOBLoginID,//span[@data-test-id='gnav_account_menu_login'],,,,,,,,//span[@data-test-id='gnav_account_menu_login']
1,ACCOUNTSIGNIN,ACRegisterNow,"//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]",//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],"//*[contains(@class,'title--h5 first_title')]"
1,ACCOUNTSIGNIN,ACRegisterNowMob,"//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]",//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],//*[@class='title--h5 first_title '],"//*[contains(@class,'title--h5 first_title')]"
1,ACCOUNTSIGNIN,ACRegisterFirstName,//*[@id='form--registration--field--FIRST_NAME'],,,#form--registration--field--FIRST_NAME,#form--registration--field--FIRST_NAME,,,,//*[@id='form--registration--field--FIRST_NAME']
1,ACCOUNTSIGNIN,ACRegisterLastName,//*[@id='form--registration--field--LAST_NAME'],,,#form--registration--field--LAST_NAME,#form--registration--field--LAST_NAME,,,,//*[@id='form--registration--field--LAST_NAME']
1,ACCOUNTSIGNIN,ACRegisterEmailId,//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],#form--registration--field--PC_EMAIL_ADDRESS,#form--registration--field--PC_EMAIL_ADDRESS,#form--registration--field--PC_EMAIL_ADDRESS,#form--registration--field--PC_EMAIL_ADDRESS,#form--registration--field--PC_EMAIL_ADDRESS,#form--registration--field--PC_EMAIL_ADDRESS,//*[@id='form--registration--field--PC_EMAIL_ADDRESS']
1,ACCOUNTSIGNIN,ACRegisterPWD,//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'],#form--registration--field--PASSWORD,#form--registration--field--PASSWORD,#form--registration--field--PASSWORD,#form--registration--field--PASSWORD,#form--registration--field--PASSWORD,#form--registration--field--PASSWORD,//*[@id='form--registration--field--PASSWORD']
1,ACCOUNTSIGNIN,ACRegisterPhone,,,,,,,,,
1,ACCOUNTSIGNIN,ACregisterYear,,,,,,,,,
1,ACCOUNTSIGNIN,ACregisterMonth,,,,,,,,,
1,ACCOUNTSIGNIN,ACregisterDay,,,,,,,,,
1,ACCOUNTSIGNIN,ACRegisterTerms,//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],#form--registration--field--ACCEPTED_PRIVACY_POLICY,//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY']
1,ACCOUNTSIGNIN,ACRegisterTermsMob,//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],#form--registration--field--ACCEPTED_PRIVACY_POLICY,//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY']
1,ACCOUNTSIGNIN,ACRegisterCreateAcBtn,//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue']
1,ACCOUNTSIGNIN,ACRegisterCreateAcBtnMOB,//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue']
1,ACCOUNTSIGNIN,ACMobileSignUpPopUp,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegisterTitle,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegisterTitleMob,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegTitleDropdownPC,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegisterDropDownMOB,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegFirstName,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegLastName,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegEmailId,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegPWD,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegVerifyPWD,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegPWDHint,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegAddress,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegStreet,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegSubDistrict,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegDistrict,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegState,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegPostalCode,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegPhone,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegAddressType,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegYear,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegMonth,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegDate,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegGender,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegTerms,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegSubmit,,,,,,,,,
1,ACCOUNTSIGNUP,ACRegSubmitMob,,,,,,,,,
1,MYACCOUNT,ACClickOnSettings,,,//*[@href='/account/settings.tmpl'],//a[@data-test-id='myaccount_menu_settings'],//*[@href='/account/settings.tmpl'],,,,
1,MYACCOUNT,ClickPersonalProfile,//*[@href='/account/registration.tmpl'],//*[@href='/account/profile_preferences.tmpl' and @data-test-id='myaccount_menu_profile'],//*[@href='/account/profile_information.tmpl'],//*[@href='/account/profile_preferences.tmpl' and @data-test-id='myaccount_menu_profile'],//*[@href='/account/profile_information.tmpl'],//*[@href='/account/profile_preferences.tmpl'],//*[@href='/account/profile_preferences.tmpl' and @data-test-id='myaccount_menu_profile'],//*[@href='/account/registration.tmpl'],//*[@href='/account/registration.tmpl']
1,MYACCOUNT,SelectTitlePersonalProfile,,,,,,,,,
1,MYACCOUNT,BannerPopUp,,,,,,,,,
1,MYACCOUNT,TitleDDPersonalProfile,,,,,,,,,
1,MYACCOUNT,FirstNamePersonalProfile,//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME'],//*[@id='form--profile_preferences--field--FIRST_NAME']
1,MYACCOUNT,LastNamePersonalProfile,//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME'],//*[@id='form--profile_preferences--field--LAST_NAME']
1,MYACCOUNT,FirstNameKatakaPersonalProfile,//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--FIRST_NAME_ALTERNATE']
1,MYACCOUNT,LastNameKatakaPersonalProfile,//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE'],//*[@id='form--profile_preferences--field--LAST_NAME_ALTERNATE']
1,MYACCOUNT,PWDHintPersonalProfile,,,,,,,,,
1,MYACCOUNT,ZipcodePersonalProfile,,,,,,,,,
1,MYACCOUNT,ClickZipCodePersonalProfile,,,,,,,,,
1,MYACCOUNT,PhonePersonalProfile,,,,,,,,,
1,MYACCOUNT,DatePersonalProfile,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY,form--profile_preferences--field--BIRTH_DAY
1,MYACCOUNT,MonthPersonalProfile,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH,form--profile_preferences--field--BIRTH_MONTH
1,MYACCOUNT,YearPersonalProfile,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR,form--profile_preferences--field--BIRTH_YEAR
1,MYACCOUNT,GenderPersonalProfile,//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label'],//*[@id='form--profile_preferences--field--SEX--index--m_label']
1,MYACCOUNT,RacePersonalProfile,,,,,,,,,
1,MYACCOUNT,TnCPersonalProfile,,,,,,,,,
1,MYACCOUNT,SubmitBtnPersonalProfile,//*[@data-test-id='form_profile_update'],//*[@data-test-id='form_profile_update'],//*[@data-test-id='form_profile_update'],//*[@data-test-id='form_profile_update'],//*[@data-test-id='form_profile_update'],//*[@class='promotions-container']/../*[@type='submit'],//*[@data-test-id='form_profile_update'],//*[@data-test-id='form_profile_update'],//*[@data-test-id='form_profile_update']
1,MYACCOUNT,AddressBook,//a[@data-test-id='myaccount_menu_shipping_billing'],//a[@data-test-id='myaccount_menu_shipping_billing'],//a[@data-test-id='myaccount_menu_shipping_billing'],,"//*[contains(@data-test-id,'myaccount_menu_shipping_billing')]",//a[@data-test-id='myaccount_menu_shipping_billing'],//section[@class='account-utilities__section']//a[@data-test-id='myaccount_menu_shipping_billing'],//ul[@id='newmyaccountsubnav']//a[@data-test-id='myaccount_menu_shipping_billing'],//a[@data-test-id='myaccount_menu_shipping_billing']
1,MYACCOUNT,ACMOBAddressBook,//*[@href='/account/shipping_billing/index.tmpl'],//a[@data-test-id='myaccount_menu_shipping_billing'],"//*[contains(@href,'/account/address_book')]",,"//*[contains(@data-test-id,'myaccount_menu_shipping_billing')]",//a[@data-test-id='myaccount_menu_shipping_billing'],//section[@class='account-utilities__section']//a[@data-test-id='myaccount_menu_shipping_billing'],//a[@data-test-id='myaccount_menu_shipping_billing'],//*[@href='/account/shipping_billing/index.tmpl']
1,MYACCOUNT,ACNewAddressButton,//a[@data-test-id='account_addressbook_addnewaddress'],//a[@data-test-id='account_addressbook_addnewaddress'],.add-address.button,//a[@data-test-id='account_addressbook_addnewaddress'],,//a[@data-test-id='account_addressbook_addnewaddress'],//a[@data-test-id='account_addressbook_addnewaddress'],//input[@data-test-id='account_addressbook_addnewaddress'],//a[@data-test-id='account_addressbook_addnewaddress']
1,MYACCOUNT,ACNewAddressButtonmob,//*[@data-test-id='account_addressbook_addnewaddress'],//a[@data-test-id='account_addressbook_addnewaddress'],.submit.add-address-link,//a[@data-test-id='account_addressbook_addnewaddress'],,.address-book__link.address-book__button,//a[@data-test-id='account_addressbook_addnewaddress'],,//*[@data-test-id='account_addressbook_addnewaddress']
1,MYACCOUNT,CanWeAssistPopUp,,,,,,,,,
1,MYACCOUNT,ShippingaddWithElementAction,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,MYACCOUNT,ShippingaddNOTWithElementAction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,MYACCOUNT,PressActionPC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,MYACCOUNT,PressActionMOB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,MYACCOUNT,ACTitleID,,,,,,,,,
1,MYACCOUNT,ACTitleDropDownPC,,,,,,,,,
1,MYACCOUNT,ACTitleDropDown,,,,,,,,,
1,MYACCOUNT,ACTitleDropDown2,,,,,,,,,
1,MYACCOUNT,ActitleMob,,,,,,,,,
1,MYACCOUNT,ACEnterFirstName,#form--address--field--FIRST_NAME,#form--address--field--FIRST_NAME,#form--address--field--FIRST_NAME,#form--address_shipping--field--FIRST_NAME,#form--address--field--FIRST_NAME,#form--address--field--FIRST_NAME,#form--address_shipping--field--FIRST_NAME,#form--address--field--FIRST_NAME,#form--address--field--FIRST_NAME
1,MYACCOUNT,ACFirstNameKatakana,#form--address--field--FIRST_NAME_ALTERNATE,#form--address--field--FIRST_NAME_ALTERNATE,#form--address--field--FIRST_NAME_ALTERNATE,#form--address_shipping--field--FIRST_NAME_ALTERNATE,#form--address--field--FIRST_NAME_ALTERNATE,#form--address--field--FIRST_NAME_ALTERNATE,#form--address_shipping--field--FIRST_NAME_ALTERNATE,#form--address--field--FIRST_NAME_ALTERNATE,#form--address--field--FIRST_NAME_ALTERNATE
1,MYACCOUNT,ACEnterLastName,#form--address--field--LAST_NAME,#form--address--field--LAST_NAME,#form--address--field--LAST_NAME,#form--address_shipping--field--LAST_NAME,#form--address--field--LAST_NAME,#form--address--field--LAST_NAME,#form--address_shipping--field--LAST_NAME,#form--address--field--LAST_NAME,#form--address--field--LAST_NAME
1,MYACCOUNT,ACLastNameKatakana,#form--address--field--LAST_NAME_ALTERNATE,#form--address--field--LAST_NAME_ALTERNATE,#form--address--field--LAST_NAME_ALTERNATE,#form--address_shipping--field--LAST_NAME_ALTERNATE,#form--address--field--LAST_NAME_ALTERNATE,#form--address--field--LAST_NAME_ALTERNATE,#form--address_shipping--field--LAST_NAME_ALTERNATE,#form--address--field--LAST_NAME_ALTERNATE,#form--address--field--LAST_NAME_ALTERNATE
1,MYACCOUNT,ACClickAddress,,,,,,,,,
1,MYACCOUNT,clickAddress,,,,,,,,,
1,MYACCOUNT,ACClickAddressScroll,,,,,,,,,
1,MYACCOUNT,ACClickSuggestedAdd,,,,,,,,,
1,MYACCOUNT,ACEnterAddress,,,,,,,,,
1,MYACCOUNT,ACEnterAddress2,,,,,,,,//*[@data-test-id='form_address_address1'],
1,MYACCOUNT,ACEnterPhone,#form--address--field--PHONE1,#form--address--field--PHONE1,#form--address--field--PHONE_OPTION_NUMBER,//*[@data-test-id='form_address_phone'],#form--address--field--PHONE1,#form--address--field--PHONE1,#form--address_shipping--field--PHONE1,#form--address--field--PHONE1,#form--address--field--PHONE1
1,MYACCOUNT,ACEnterStreet,,,,,,,,,
1,MYACCOUNT,ACEnterSubDistrict,,,,,,,,,
1,MYACCOUNT,ACEnterCity,,,,,,,,//*[@data-test-id='form_address_city'],
1,MYACCOUNT,ACEnterState,,,,,,,,,
1,MYACCOUNT,ACStateDropDown,,,,,,,,form--address--field--STATE,
1,MYACCOUNT,ACStateDropDown2,,,,,,,,,
1,MYACCOUNT,ACCityDropDown,,,,,,,,,
1,MYACCOUNT,ACCityDropDown2,,,,,,,,,
1,MYACCOUNT,ACDistrictDropdown,,,,,,,,,
1,MYACCOUNT,ACDistrictDropdown2,,,,,,,,,
1,MYACCOUNT,ACEnterPostalCode,#form--address--field--POSTAL_CODE,#form--address--field--POSTAL_CODE,#form--address--field--POSTAL_CODE,#form--address_shipping--field--POSTAL_CODE,#form--address--field--POSTAL_CODE,#form--address--field--POSTAL_CODE,#form--address_shipping--field--POSTAL_CODE,#form--address--field--POSTAL_CODE,#form--address--field--POSTAL_CODE
1,MYACCOUNT,ACAddressSearchBTN,.address_lookup_submit.button.button--dark,//input[@data-test-id='form_postal_code_search'],.address_lookup_submit.button,.address_lookup_submit.js-address-lookup-submit .btn,.address_lookup_submit,.address_lookup_submit,.address_lookup_submit,,.address_lookup_submit.button.button--dark
1,MYACCOUNT,ACAddressInSearchBox,,,,,,,,,
1,MYACCOUNT,ACAddSearchInSearchBox,,,,,,,,,
1,MYACCOUNT,ACSelectSuggestedAddress,,,,,,,,,
1,MYACCOUNT,ACStreetAddress,,,,,,,,,
1,MYACCOUNT,ACSearchBtnInSearchBox,,,,,,,,,
1,MYACCOUNT,ACCellphnAreaCode,,,,,,,,,
1,MYACCOUNT,ACEnterCellNum1,,,,,,,,,
1,MYACCOUNT,ACEnterCellNum2,,,,,,,,,
1,MYACCOUNT,shippingdetailsdropdown,,,,,,,,,
1,MYACCOUNT,selectdropdownoption,,,,,,,,,
1,MYACCOUNT,ACAddressSubmit,"//div[contains(@class,'address')]//input[@class='form-submit']",//input[@data-test-id='form_address_submit'],#continue-btn,//input[@data-test-id='form_address_submit'],//*[@data-test-id='form_address_submit'] | //*[@class='form-submit'],//input[@data-test-id='form_address_submit'],//input[@data-test-id='form_address_submit'],//input[@data-test-id='form_address_submit'],"//div[contains(@class,'address')]//input[@class='form-submit']"
1,MYACCOUNT,ACAddressSubmitMOB,"//div[contains(@class,'address')]//input[@class='form-submit']",//input[@data-test-id='form_address_submit'],.big-button,//input[@data-test-id='form_address_submit'],//*[@data-test-id='form_address_submit'] | //*[@class='form-submit'],//input[@data-test-id='form_address_submit'],//input[@data-test-id='form_address_submit'],//input[@data-test-id='form_address_submit'],"//div[contains(@class,'address')]//input[@class='form-submit']"
1,MYACCOUNT,tabpress,,,,,,,,,
1,MYACCOUNT,ACClickBackBtn,.account-breadcrumb,,//a[@href='/account/index.tmpl'],.back-label,a.breadcrumb,//a[@href='/account/index.tmpl'],.account-section__header,//*[@href='/account/index.tmpl'],.account-breadcrumb
1,MYACCOUNT,SignoutHeader,,,,,,,,,
1,MYACCOUNT,ACMemberInfo,,,,,"//*[contains(@data-test-id,'myaccount_menu_title')]",,,,
1,MYACCOUNT,ACSignout,//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],"//*[contains(@href,'signout')]",//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout']
1,MYACCOUNT,ACSignoutMob,//a[@data-test-id='myaccount_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],"//*[contains(@href,'signout')]",//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_signout']
1,ACCOUNTSIGNIN,ACSignoutAssert,//li[@id='signout_msg..'],(//li[@id='signout_msg..'])[2],//li[@id='signout_msg..'],(//li[@id='signout_msg..'])[2],//li[@id='signout_msg..'],(//li[@id='signout_msg..'])[2],(//li[@id='signout_msg..'])[2],(//li[@id='signout_msg..'])[2],//li[@id='signout_msg..']
1,ACCOUNTSIGNIN,ACNeedToClickLoginAgain,,,,,,,,,
1,ACCOUNTSIGNIN,ClickSigninBtnPC,,,,,,,,,
1,ACCOUNTSIGNIN,ClickSigninBtn,,,,,,,,,
1,ACCOUNTSIGNIN,ACEnterReturnUSerEmail,#form--signin--field--EMAIL_ADDRESS,.return-user__fieldset #form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS,#form--signin--field--EMAIL_ADDRESS
1,ACCOUNTSIGNIN,ACReturnUserPWD,#form--signin--field--PASSWORD,.return-user__fieldset #form--signin--field--PASSWORD,#form--signin--field--PASSWORD,#form--signin--field--PASSWORD,#form--signin--field--PASSWORD,#form--signin--field--PASSWORD,#form--signin--field--PASSWORD,#form--signin--field--PASSWORD,#form--signin--field--PASSWORD
1,ACCOUNTSIGNIN,ACReturnUserLogin,//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue']
1,ACCOUNTSIGNIN,ACReturnUserLoginMOB,//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//*[@id='signin']//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue']
1,ACCOUNTSIGNIN,GnavMemLogin,,,,,,,,,
1,ACCOUNTSIGNIN,GnavMemAccount,,,,,,,,,
1,ACCOUNTSIGNIN,ACMyOrderViewDetail,//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],"//*[contains(@data-test-id,'myaccount_menu_orders')]",//a[@data-test-id='myaccount_menu_orders'],//section[@class='account-utilities__section']//a[@data-test-id='myaccount_menu_orders'],//ul[@id='newmyaccountsubnav']//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders']
