tt,BrandLocale,AV-UK,AV-US,AV-AU,AV-IT,AV-MX,CL-UK,CL-US,CL-AU,CL-IT,CL-MX,MC-UK,MC-US,MC-AU,MC-IT,MC-MX,EL-UK,EL-US,EL-AU,EL-IT,EL-MX,JM-UK,JM-US,JM-AU,JM-FR,JM-MX,OR-UK,OR-US,OR-TH,OR-MX,BB-UK,BB-US,BB-AU,BB-IT,BB-MX,GG-UK,GG-US,GG-HK,BK-UK,BK-US,BK-FR,LM-UK,LM-US,LM-AU,LM-FR,LM-MX,LS-UK,LS-US,LS-JP,DA-UK,DA-US,DA-FR,SB-US,SB-GR,TF-UK,TF-US,TF-JP,TF-BR,BU-UK,BU-US,FM-UK,FM-US,DJ-UK,DJ-US
1,cmsClickRepublish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish,Republish
1,cmsClickUnapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove,Unapprove
1,cmsClickUnpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish,Unpublish
1,localizationCommonMessage,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to ,1 new items have been localized to 
1,cmsClickSpprcis,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set,SPP Related Content Item Set
1,cmsSpprcisLayoutTempalte1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1,Platform Test Template - DO NOT USE OR CHANGE - v1
1,cmsSpprcisLayoutTempalte2,SPP - Product Layout - v1,SPP - Product Layout - v1,SPP - Product Layout - v1,SPP - Product Layout - v1,SPP - Product Layout - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v2 - 2018 Creative Refresh,SPP - Product Layout - v1,SPP - Product Layout - v1,SPP - Product Layout - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,ELC - Stardust - Product SPP - v1,SPP - Product Layout - v1,SPP - Product Layout - v1,Product Full View - v1,Product Full View - v1,Product Full View - v1,Product Full View - v1
1,cmsDescription,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS,Test SPPRCIS
1,cmsAddAnotherItem,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item,Add Another Item
1,cmsLowerSlotContent,Tulasara MPP - Video Block Split Width - radiant awakening ritual video (16708),Tulasara MPP - Video Block Split Width - radiant awakening ritual video (1092),Tulasara MPP - Video Block Split Width - radiant awakening ritual video (5902),Tulasara MPP - Video Block Split Width - radiant awakening ritual video (51720),Invati MPP - Video Block Split Width - invati sourcing video (106217),MPP - Black Honey HP MPP banner (401399),Aromatics Black - banner - A new seduction in scent. (46694),Ingredients - Activated Aloe Water - Header (291682),lmw - full width - Black Honey Almost - Lipstick (411217),Ingredients - Activated Aloe Water - Header (286780),Homepage - Promo Banner - Stranger Things Fanny Pack Promo (472777),Homepage - Promo Banner - MAC Lover Promo (478305),Homepage - Promo Banner - MAC Treats (412579),Homepage - Promo Banner - MAC Lover Teaser (356715),Homepage - Promo Banner - Free cleanse Kit (353381),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Multi Use - Homepage - 2022 - Lipstick Day (342093),MPP Header: Pure Color Envy Eyeshadow Singles (54562),Multi Use - style B: MakeupGifts_Eyes_N2 (58440),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Multi Use - Homepage - 2022 - Lipstick Day (342093),MPP Header: Pure Color Envy Eyeshadow Singles (54562),Multi Use - style B: MakeupGifts_Eyes_N2 (58440),Full bleed video - Original Skin™ Cleansing Makeup Remover Jelly (19064),Original Skin™ Retexturizing Mask with Rose Clay - hold (40169),RitualiTea - HomepageBanner (8318),RitualiTea - HomepageBanner (8318),Homepage - Promo Banner - Stranger Things Fanny Pack Promo (472777),Homepage - Promo Banner - MAC Lover Promo (478305),Homepage - Promo Banner - MAC Treats (412579),Homepage - Promo Banner - MAC Lover Teaser (356715),Homepage - Promo Banner - Free cleanse Kit (353381),Homepage - Promo Banner - MAC Lover Promo (478305),Homepage - Promo Banner - MAC Lover Promo (478305),Homepage - Promo Banner - MAC Treats (412579),Homepage - Promo Banner - Stranger Things Fanny Pack Promo (472777),Homepage - Promo Banner - MAC Lover Promo (478305),MPP Header: Pure Color Envy Eyeshadow Singles (54562),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Multi Use - Homepage - 2022 - Lipstick Day (342093),MPP Header: Pure Color Envy Eyeshadow Singles (54562),Multi Use - style B: MakeupGifts_Eyes_N2 (58440),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Multi Use - Homepage - 2022 - Lipstick Day (342093),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Multi Use - Homepage - 2022 - Lipstick Day (342093),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Special Offer - Early Black Friday Eyes - 2018 (144786),Holiday 2019 - Game on Banner (182378),Multi Use - Homepage - 2022 - Lipstick Day (342093),Multi Use - Homepage - 2022 - Lipstick Day (342093),Home - Surf - Videos 2018 (9674),Home - Surf - Videos 2018 (9620),Basic Hairline Divider (7256),Basic Hairline Divider (6742),Basic Hairline Divider (7256),Basic Hairline Divider (6742)
1,cmsSelectProduct,"PROD16545 : Rosemary Mint Bath Bar : DEV, STAGE, PROD ","PROD16545 : rosemary mint bath bar : DEV, STAGE, PROD ","PROD70900 : feed my lips™ pure nourish-mint™ lip primer : DEV, STAGE, PROD","PROD16545 : rosemary mint bath bar : DEV, STAGE, PROD ","PROD17957 : Control Force™ Firm Hold Hair Spray : DEV, STAGE, PROD ","40650 : SPF50 Mineral Sunscreen Fluid For Face : DEV, STAGE, PROD","72241 : Superdefense™ City Block Broad Spectrum SPF 50 Daily Energy + Face Protector : DEV, STAGE, PROD","110367 : Superdefense City Block SPF 30 Daily Energy + Face Protector : DEV, STAGE, PROD","55010 : Clinique Pop Splash™ Lip Gloss + Hydration : DEV, STAGE, PROD","37389 : Beyond Perfecting Powder Base + Corrector : DEV, STAGE, PROD","PROD63476 : 75 Heartbreaker Lash : DEV, STAGE, PROD","PROD107891 : Turquatic Jumbo : DEV, STAGE, PROD","PROD22068 : PRO Lip Palette / 6 Editorial Oranges : DEV, STAGE, PROD","PROD77565 : Lipglass Clear / Mini M·A·C : DEV, STAGE, PROD","PROD77565 : GLOSS TRANSPARENTE LIP GLASS CLEAR / MINI MAC : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","9681 : Eye and Lip Makeup Remover : DEV, STAGE, PROD","PROD35428 : Spellbound : DEV, STAGE, PROD","PROD71453 : Perfectionist Pro : DEV, STAGE, PROD","PROD71453 : Perfectionist Pro : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","PROD71453 : Perfectionist Pro : DEV, STAGE, PROD","PROD71453 : Perfectionist Pro : DEV, STAGE, PROD","PROD61392 : Hello, Calm™ : DEV, STAGE, PROD","PROD115875 : Hello, Radiance : DEV, STAGE, PROD","PROD48069 : Original Skin™ มอยเจอร์ไรเซอร์เนื้อแมท กระชับรูขุมขน : DEV, STAGE, PROD ","PROD76224 : Charcoal Honey Mask To Purify & Nourish 30ml มาส์กหน้าใส กระชับรูขุมขน : DEV, STAGE, PROD","PROD63476 : 75 Heartbreaker Lash : DEV, STAGE, PROD","PROD88932 : Lipstick / Hypnotizing Holiday : DEV, STAGE, PROD","PROD77098 : Powerglass Plumping Lip Gloss : DEV, STAGE, PROD","PROD88933 : Powerpoint Eyeliner / Hypnotizing Holiday : DEV, STAGE, PROD","PROD77098 : Powerglass Plumping Lip Gloss : DEV, STAGE, PROD","PROD88932 : Lipstick / Hypnotizing Holiday : DEV, STAGE, PROD","PROD88932 : Lipstick / Hypnotizing Holiday : DEV, STAGE, PROD","PROD77098 : Powerglass Plumping Lip Gloss : DEV, STAGE, PROD","PROD101914 : Le Rouge Parfum : DEV, STAGE, PROD","PROD101914 : Le Rouge Parfum : DEV, STAGE, PROD","PROD101914 : Le Rouge Parfum : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","PROD71453 : Perfectionist Pro : DEV, STAGE, PROD","PROD71453 : Perfectionist Pro : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","101853 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","35329 : Micro Essence : DEV, STAGE, PROD","PROD26678 : Surf Creme Rinse Conditioner : DEV, STAGE, PROD","PROD26678 : Surf Creme Rinse Conditioner : DEV, STAGE, PROD",product/19654/111812/body-line/hand-wash,product/19654/111812/body-line/hand-wash,product/19654/111812/body-line/hand-wash,product/19654/111812/body-line/hand-wash
1,sppUrl,product/5197/16545/body/rosemary-mint-bath-bar,product/5197/16545/body/rosemary-mint-bath-bar,product/5336/70900/makeup/lips/feed-my-lipstm-pure-nourish-minttm-lip-primer,product/17762/16545/body/bath/rosemary-mint-bath-bar,product/5386/17957/styling/hair-spray/control-force-firm-hold-hair-spray,product/1661/40650/sun-self-tan/sun-protection/spf50-mineral-sunscreen-fluid-for-face,product/1661/72241/sun-protection-self-tanners/sun-protection/superdefensetm-city-block-broad-spectrum-spf-50-daily-energy-face-protector,product/1661/110367/sun/sun-protection/superdefense-city-block-spf-30-daily-energy-face-protector,product/1603/55010/makeup/lip-gloss/clinique-pop-splashtm-lip-gloss-hydration,product/1599/37389/maquillaje/bases-de-maquillaje/beyond-perfecting-powder-base-corrector,product/13837/63476/products/makeup/eyes/eyelashes/mac-lash-75-heartbreaker-lash,product/13815/107891/products/fragrance/turquatic/turquatic-jumbo,product/13851/22068/products/makeup/lips/lip-palettes-kits/pro-lip-palette-6-editorial-oranges,product/13853/77565/prodotti/makeup/labbra/lip-gloss/lipglass-clear-mini-mac,product/13854/77565/productos/maquillaje/labios/lipstick/gloss-transparente-lip-glass-clear-mini-mac,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/1696/9681/landing-pages/search/test/eye-and-lip-makeup-remover/for-longwear-formulas?size=100ml,product/571/35428/product-catalog/fragrance/spellbound/eau-de-parfum-spray,product/689/71453/product-catalog/skincare/sieri-riparatori/perfectionist-pro/rapid-brightening-treatment,product/689/71453/catalogo-de-productos/cuidado-de-la-piel/sueros-reparadores/perfectionist-pro/rapid-brightening-treatment,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/687/35329/product-catalog/skincare/masks/micro-essence/infusion-mask,product/681/35329/product-catalog/skincare/micro-essence/infusion-mask,product/689/71453/product-catalog/skincare/sieri-riparatori/perfectionist-pro/rapid-brightening-treatment,product/689/71453/catalogo-de-productos/cuidado-de-la-piel/sueros-reparadores/perfectionist-pro/rapid-brightening-treatment,product/15346/61392/skincare/treat/mask/hello-calmtm/relaxing-hydrating-face-mask-with-cannabis-sativa-seed-oil,product/15341/115875/skincare/skincare-gifts/hello-radiance/meet-the-radiance-boosting-trio,product/15352/48069/skincare/moisturize/moisturizers/original-skintm-/matte-moisturizer-with-willowherb-#/sku/79704,product/15346/76224/skincare/treat/face-masks/charcoal-honey-mask-to-purify-nourish-30ml/clear-improvementtm,product/13837/63476/products/makeup/eyes/eyelashes/mac-lash-75-heartbreaker-lash,product/13854/88932/products/makeup/lips/lipstick/lipstick-hypnotizing-holiday,product/13854/77098/products/makeup/lips/lipstick/powerglass-plumping-lip-gloss,product/13838/88933/prodotti/makeup/occhi/liner/powerpoint-eyeliner-hypnotizing-holiday,product/13853/77098/productos/maquillaje/labios/lip-gloss/powerglass-plumping-lip-gloss,product/13854/88932/products/makeup/lips/lipstick/lipstick-hypnotizing-holiday,product/13854/88932/products/makeup/lips/lipstick/lipstick-hypnotizing-holiday,product/13854/77098/products/makeup/lips/lipstick/powerglass-plumping-lip-gloss,product/23816/101914/makeup/le-rouge-parfum/matte,product/22820/101914/lipstick/le-rouge-parfum/matte,/product/22868/101914/makeup/le-rouge-parfum/matte,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/687/35329/product-catalog/skincare/masks/micro-essence/infusion-mask,product/681/35329/product-catalog/skincare/micro-essence/infusion-mask,product/689/71453/product-catalog/skincare/sieri-riparatori/perfectionist-pro/rapid-brightening-treatment,product/689/71453/catalogo-de-productos/cuidado-de-la-piel/sueros-reparadores/perfectionist-pro/rapid-brightening-treatment,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/687/35329/product-catalog/skincare/masks/micro-essence/infusion-mask,product/681/35329/product-catalog/skincare/micro-essence/infusion-mask,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/687/35329/product-catalog/skincare/masks/micro-essence/infusion-mask,product/681/35329/product-catalog/skincare/micro-essence/infusion-mask,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/687/35329/product-catalog/skincare/masks/micro-essence/infusion-mask,product/26389/101853/product-catalog/skincare/toner-treatment-lotion/micro-essence/treatment-lotion-with-bio-ferment,product/687/35329/product-catalog/skincare/masks/micro-essence/infusion-mask,product/681/35329/product-catalog/skincare/micro-essence/infusion-mask,product/681/35329/product-catalog/skincare/micro-essence/infusion-mask,product/19048/26678/care/conditioners/surf-creme-rinse-conditioner,product/19048/26678/care/conditioners/surf-creme-rinse-conditioner,product/19654/111812/body-line/hand-wash,product/19654/111812/body-line/hand-wash,product/19654/111812/body-line/hand-wash,product/19654/111812/body-line/hand-wash
1,cmsCustomUrlAlias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias,test-url-alias
1,cmsBulkPublishMessage,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:,have been published:
