tt,BrandLocale,AV-AU,AV-CA,AV-DE,AV-EU,AV-FR,AV-GR,AV-IT,AV-JP,AV-KR,AV-MX,AV-TR,AV-UK,AV-US,BB-AT,BB-AU,BB-CA,BB-CH,BB-CN,BB-DE,BB-ES,BB-FR,BB-GR,BB-HK,BB-IL,BB-IN,BB-IT,BB-JP,BB-KR,BB-MX,BB-NL,BB-RU,BB-TH,BB-TR,BB-TW,BB-UK,BB-US,BB-ZA,BK-FR,BK-RU,BK-UAE,BK-UK,BK-US,BU-CA,BU-UK,BU-US,CL-AT,CL-AU,CL-BE,CL-BR,CL-CA,CL-CE,CL-CH,CL-CN,CL-CZ,CL-DE,CL-DK,CL-ES,CL-FI,CL-FR,CL-GR,CL-HK,CL-HU,CL-IL,CL-IN,CL-IT,CL-JP,CL-KR,CL-MX,CL-MY,CL-NL,CL-NO,CL-NZ,CL-PL,CL-RO,CL-RU,CL-SE,CL-TH,CL-TR,CL-TW,CL-UK,CL-US,CL-ZA,DA-BE,DA-CA,DA-DE,DA-ES,DA-FR,DA-IT,DA-NL,DA-TR,DA-UK,DA-US,DJ-KR,DJ-UK,DJ-US,EB-CZ,EL-AT,EL-AU,EL-BE,EL-BR,EL-CA,EL-CE,EL-CH,EL-CN,EL-CZ,EL-DE,EL-DK,EL-ES,EL-FR,EL-GR,EL-HK,EL-HU,EL-IL,EL-IN,EL-IT,EL-JP,EL-KR,EL-MX,EL-MY,EL-NL,EL-NO,EL-NZ,EL-PL,EL-RO,EL-RU,EL-SE,EL-SG,EL-TH,EL-TR,EL-TW,EL-UK,EL-US,EL-ZA,FM-EU,FM-UK,FM-US,GG-HK,GG-US,JM-AU,JM-BR,JM-CA,JM-CN,JM-EU,JM-FR,JM-HK,JM-JP,JM-KR,JM-ME,JM-MY,JM-PH,JM-RU,JM-SG,JM-TH,JM-UK,JM-US,LM-AU,LM-BR,LM-CA,LM-CN,LM-DE,LM-EU,LM-FR,LM-GR,LM-HK,LM-JP,LM-KR,LM-MX,LM-RU,LM-TH,LM-TW,LM-UK,LM-US,LM-ZA,LS-CN,LS-JP,LS-KR,LS-UK,LS-US,MC-AT,MC-AU,MC-BE,MC-BR,MC-CA,MC-CE,MC-CH,MC-CN,MC-CZ,MC-DE,MC-ES,MC-FR,MC-GR,MC-HK,MC-HU,MC-IL,MC-IN,MC-IT,MC-JP,MC-KR,MC-KSA,MC-MX,MC-MY,MC-NL,MC-NO,MC-NZ,MC-PL,MC-RO,MC-RU,MC-TH,MC-TR,MC-TW,MC-UAE,MC-UK,MC-US,MC-ZA,OR-CA,OR-CN,OR-DE,OR-DK,OR-EU,OR-HK,OR-RU,OR-TH,OR-TR,OR-TW,OR-UK,OR-US,SB-CA,SB-EU,SB-RU,SB-TR,SB-US,SB-ZA,TF-BR,TF-DE,TF-JP,TF-UK,TF-US
1,quizstepTextFour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fresh,,Fresh,,Fresh,Fresh,,,,,,,,,Fresh,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,quizstepTextFive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daring,,Daring,,Daring,Daring,,,,,,,,,Daring,Daring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,engraveBottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENGRAVE BOTTLE,,ENGRAVE BOTTLE,,ENGRAVE BOTTLE,,,,,,,,,,ENGRAVE BOTTLE,ENGRAVE BOTTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,engraveLid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENGRAVE LID,,ENGRAVE LID,,ENGRAVE LID,,,,,,,,,,ENGRAVE LID,ENGRAVE LID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chooseFirstScent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choose your first scent,,Choose your first scent,,Choose your first scent,開啓尋香之旅,,,,,,,,,Choose your first scent,Choose your first scent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yourComb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your Combination,,Your Combination,,Your Combination,,,,,,,,,,Your Combination,Your Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chooseHTL,Price (High to Low),Price (High to Low),Preis (absteigend),,,,,,가격(높은순),Precio (Mayor A Menor),,Price (High to Low),Sort by Price (High to Low),,Price (High to Low),Price (High to Low),,,,,Prix Décroissant,,價格（從高至低）,,,PREZZO (DECRESCENTE),価格の高い順,,Precio (Más Alto a Más Bajo),,,ราคา (สูง ไป ต่ำ),,,Price (High to Low),Price: High to Low,,,,,,,price (high to low),price (high to low),price (high to low),,Price (High to Low),,Preço (maior para menor),Price (High to Low),,,价格（从高到低）,,Preis (absteigend),,,,Trier par prix décroissant,,,,מחיר (מהגבוה לנמוך),Price (High to Low),,価格が高い順,,Precio (mayor a menor),Price (High to Low),,,Price (High to Low),,,,,,,,Price (High to Low),Price (High to Low),Price (High to Low),,,,,,,,,,Price (High to Low),높은금액 순,Price (High to Low),Price (High to Low),,,,,,,,,,,Preis absteigend,,,Classer par prix (ordre décroissant),,,,,,,価格の高い順,높은 가격 순,Filtrar por precio (de más alto a más bajo),,,,,Ceny (malejÄ…co),Preço (Maior para Menor),,,,높은 가격 순,,,Price High to Low,Sort by Price (High to Low),,,,,,Sort by Price (High to Low),,Preço (Maior para Menor),,价格（从高到底）,,Prix décroissants,價格由高至低,価格（高い順）,,,,,,,,Price (High to Low),Price (High to Low),Price (High to Low),,Price (High to Low),价格（由高到低）,Preis (absteigend),,,,,価格（高い順）,,Precio (de mayor a menor),,,價格(由高至低),Price (High to Low),Price (High to Low),Price (High to Low),按价格排序（从高到底）,価格の高い順,가격순 (높은 가격순),Sort by Price (High to Low),Price (High to Low),,,,Preço: Maior para Menor,,,,从高到低,,Hoch zu niedrig,,,,,,,,,価格が高い順,,,,,,,,,,,,,,,Price: High to Low,Sort by Price High to Low,,,价格从高到低,Preis (absteigend),,,,,ราคา (น้อยไปหามาก),,,Price (High - Low),Price (High - Low),,,,,Sort by Price (High to Low),,Preço (Menor para Maior),Preis aufsteigend,価格の安い順,High to Low,High to Low
1,chooseLTH,Price (Low to High),Price (Low to High),Preis (aufsteigend),,,,,,가격(낮은순),Precio (Menor A Mayor),,Price (Low to High),Sort by Price (Low to High),,Price (Low to High),Price (Low to High),,,,,Prix Croissant,,價格（從低至高）,,,PREZZO (CRESCENTE),価格の安い順,,Precio (Más Bajo a Más Alto),,,ราคา (ต่ำ ไป สูง),,,Price (Low to High),Price: Low to High,,,,,,,price (low to high),price (low to high),price (low to high),,Price (Low to High),,Preço (menor para maior),Price (Low to High),,,价格（从低到高）,,Preis (aufsteigend),,,,Trier par prix croissant,,,,מחיר (מהנמוך לגבוה),Price (Low to High),,価格が安い順,,Precio (menor a mayor),Price (Low to High),,,Price (Low to High),,,,,,,,Price (Low to High),Price (Low to High),Price (Low to High),,,,,,,,,,Price (Low to High),낮은금액 순,Price (Low to High),Price (Low to High),,,,,,,,,,,Preis aufsteigend,,,Classer par prix (ordre croissant),,,,,,,価格の安い順,낮은 가격 순,Filtrar por precio (de más bajo a más alto),,,,,Ceny (rosnÄ…co),Preço (Menor para Maior),,,,낮은 가격 순,,,Price Low to High,Sort by Price (Low to High),,,,,,Sort by Price (Low to High),,Preço (Menor para Maior),,价格（从低到高）,,Prix croissants,價格由低至高,価格（安い順）,,,,,,,,Price (Low to High),Price (Low to High),Price (Low to High),,Price (Low to High),价格（由低到高）,Preis (aufsteigend),,,,,価格（低い順）,,Precio (de menor a mayor),,,價格(由低至高),Price (Low to High),Price (Low to High),Price (Low to High),按价格排序（从低到高）,価格の安い順,가격순 (낮은 가격순),Sort by Price (Low to High),Price (Low to High),,,,Preço: Menor para Maior,,,,从低到高,,Niedrig zu hoch,,,,,,,,,価格が安い順,,,,,,,,,,,,,,,Price: Low to High,Sort by Price Low to High,,,价格从低到高,Preis (aufsteigend),,,,,ราคา (มากไปหาน้อย),,,Price (Low - High),Price (Low - High),,,,,Sort by Price (Low to High),,Preço (Maior para Menor),Preis absteigend,価格の高い順,Low to High,Low to High
1,shadeFilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM,MEDIUM,,,,,,,,,,,MEDIUM,,,200,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIGHT,,,,,,
1,scrollToStickyValue,,,,,,,,,,,,,,,3000,3000,,,,,3000,,3000,,,3000,3000,,700,,,3000,,,3000,3000,,,,,3000,3000,,,,,8000,,3700,3600,,,3600,,3700,,,,3600,,,,3400,8000,,3700,,3700,3700,,,3700,,,6000,,,,,3700,3600,3700,,,,,,,,,,3000,2200,2200,2200,,,,,,,,,,,2200,,,2200,,,,,,,2200,2200,2200,,,,,2200,2200,,,,2200,,,500,2200,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3200,3200,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,
1,scrollUpVal,200,200,200,200,200,,,,200,200,,200,200,,200,200,,,200,200,200,,200,200,,200,200,,200,,,200,200,,200,200,200,,,,200,200,,,,,200,,200,200,,,200,,200,,,,200,,,,200,200,,200,,200,200,,,200,,,200,,,,,200,200,200,,,,,,200,200,,,200,200,200,200,,,,200,,,,,,,200,200,200,200,200,,,200,,,200,200,200,,,,,200,200,,,,200,200,,,200,200,,,200,,200,,200,,200,200,200,200,200,,200,,,,,,200,200,,,,,,,,,,,,,,,,,,,200,200,200,200,200,200,,,300,,,,300,,300,,,,,200,,,,300,,200,,,,200,,200,200,,,200,,,300,300,200,,,,,200,,,,,,,,,,,,200,,,,,,
1,scrollDownVal,500,500,500,500,500,,,,500,500,,500,500,,500,500,,,500,500,500,,500,500,,500,500,,500,,,500,500,,500,500,500,,,,500,500,,,,,800,,500,500,,,500,,500,,,,500,,,,500,800,,500,,500,500,,,800,,,500,,,,,500,500,500,,,,,,500,500,,,500,500,500,500,,,,500,,,,,,,500,500,500,500,500,,,500,,,500,500,500,,,,,500,500,,,,500,500,,,500,500,,,500,,500,,500,,500,500,500,500,500,,500,,,,,,500,500,,,,,,,,,,,,,,,,,,,500,500,600,500,500,500,,,300,,,,300,,300,,,,,500,,,,300,,500,,,,500,,500,500,,,500,,,300,300,500,,,,,500,,,,,,,,,,,,500,,,,,,
1,productSizeValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cartPrize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cartQTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cartHeaderMpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday Shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crème de la Mer Moisturizer,,,,,Crème de la Mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,productSizeValueMpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5 fl oz - $30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,16.5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cartPrizeMpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5 fl oz - $30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml - $12900.00,,,,,16.5oz - $2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cartQTYMpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANTIDAD 1,,,,,QTY: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,afaSearchText,textures,textures,,,,,,,textures,textures,,,textures,,supplement,supplement,,,,,supplement,,supplement,,,supplement,,,supplement,,,supplement,,,supplement,supplement,,,,,,,,,Potential,,Complement,,Complement,Complement,,,Complement,,Complement,,,,Complement,,,,Complement,Complement,,Complement,,Complement,Complement,,,Complement,,,Complement,,,,,Complement,Complement,Complement,,,,,,,,,,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,,,,,,,,,Ingredients,,,,oily,,,,,,,,,,,
1,scrollDownGift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,autoReplText,Deliver every 30 days,Deliver every 30 days,,,,,,,Deliver every 30 days,Deliver every 30 days,,,Deliver every 30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,autoRepClassMobile,product-replenishment__select js-product-replenishment-select selectBox,product-replenishment__select js-product-replenishment-select selectBox,,,,,,,product-replenishment__select js-product-replenishment-select selectBox,product-replenishment__select js-product-replenishment-select selectBox,,,product-replenishment__select js-product-replenishment-select selectBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,selectBox product-replenishment-select__select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,validPincode,,,NR7 9AW,,,,,,,,,NR7 9AW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20095,,,,,,,,,,,,,,,,,,,,,,,,L1J 2K5,54123,,,,,,,,,,,,,,,,,,,,,,,,
1,invalidPincode,,,NR7 9A,,,,,,,,,NR7 9A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,12345,123,,,,,,,,,,,,,,,,,,,,,,,,
1,shadeNameMppMob,04/Cana,04/Cana,04/Cana,,,,,,200ml,33.8 fl oz/1 litre,,04/Cana,04/Cana,,Warm Honey (W-066),Cool Honey (C-066),,,,,Ivory,,Natural,,,Warm Honey (W-066),N-032 サンド,,Warm Honey (W-066),,,Warm Porcelain,,,Warm Honey,Warm Porcelain (W-016),,,,,Heaven Rouge,150683,Brown,Brown,,,WN 04 Bone (VF),,CN 28 Ivory (VF),CN 08 Linen,,,61 Ivory,,WN 01 Flax,,,,WN 01 Flax,,,,Black,CN 28 Ivory,,62 Rose Beige ローズ ベージュ,,Honey Wheat,63 Fresh Beige,,,CN 70 Vanilla,,,63 Fresh Beige,,,,,WN 04 Bone,WN 04 Bone,,,,,,,,,,,WN 04 Bone,,WN 16 Buff,Fair-Light,,,,,83498,,,,,,,,,Deep Tan - Deep,,,,,,,,,9587,,,,,,,,,,,,,,,,,,1C0 Shell,,,,,,,,,,,,,,,,,,,,,,,Sandstone,,,,,,12号自然色,,Fair,,,12 Pearl,Sandstone,230 Light Ochre,230 Light Ochre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reflects Bronze,,,,,,,,,,,,,,,,,,640 Deep Neutral,,Ivory,Maple,スノー,Maple,Yummy Bear
1,scrollValue,,200,,,,,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
1,scrollValueMpp,,800,,,,,,,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,scrollValueShadeReviewMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,500,500,500,500,500
1,stickyShadeNameMob,,,,,,,,,,,,,,,Almond (C-084)," Almond (C-084 / 7) ",,,,,Chestnut,,Natural,,,Almond (C-084 / 7),N-032 サンド,," Natural Tan ",,,Sand,,," Cool Natural (C-056) "," Almond (C-084 / 7) ",,,,,Intoxicating Rouge,Crystal Rose,,,,,Neutral,,114 Golden,18 Stay Cream,,,61 Ivory,,WN 01 Flax,,,,WN 01 Flax,,,,WN 01 Flax,CN 70 Vanilla,,63 フレッシュ ベージュ,,Meringue,62 Rose Beige,,,WN 04 Bone,,,,,,,,0.75 Custard,WN 76 Toasted Wheat,WN 16 Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,scrollFav,200,200,200,,,,,,200,150,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,300,300,300,,,,,300,,300,,,300,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,errorMessage,,,PLEASE ENTER A VALID POST CODE,,,,,,,,,PLEASE ENTER A VALID POST CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITTE GEBE EINE GÜLTIGE PLZ AN.,,,,,,,,,,,,,,,,,,,,,,,,,Invalid Zip Code,,,,,,,,,,,,,,,,,,,,,,,,
1,scrollDownZipCode,,,300,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shadedSkuId1,SKU93474,,,,,,,,,,,SKU34374,,,SKU151794,,,,,,SKU121112,,SKU156638,,,SKU99344,SKU46828,,,,,,,,SKU151962,,,,,,SKU115054,,,,,,SKU50165,,SKU13417,SKU123463,,,SKU121630,,SKU62112,,,,SKU43064,,,,SKU128579,SKU61550,,SKU84322,,,SKU11915,,,SKU45954,,,,,,,,SKU50165,SKU157317,SKU95510,,,,,,,,,,,,,,,,,,SKU105439,,,,,,SKU89692,,,SKU112681,,,,,,,,,,,,,,,,,,,,,,SKU162402,SKU150332,,,,,,,,,,,,,,,,,,,,,,,,SKU105317,,,SKU85760,SKU117876,,,,,SKU105317,,SKU105317,,,SKU117869,SKU117869,,SKU70594,,,,,,,,,SKU3067,,,,SKU21981,,SKU161476,,,,,,,,,SKU118959,,,,,,,,,,,,,,,SKU110265,SKU76952,,,,SKU96592,,,,,,,,SKU116797,,,,,,,,,,,,
1,shadedSkuId2,SKU110150,,,,,,,,,,,SKU34375,,,SKU156643,,,,,,SKU81641,,SKU156641,,,SKU99340,SKU121574,,,,,,,,SKU151963,,,,,,SKU115041,,,,,,SKU150247,,SKU12084,SKU124372,,,SKU121631,,SKU123204,,,,SKU31743,,,,SKU128603,SKU61515,,SKU84326,,,SKU61898,,,SKU45957,,,,,,,,SKU50167,SKU157316,SKU95514,,,,,,,,,,,,,,,,,,SKU128509,,,,,,SKU53811,,,SKU150798,,,,,,,,,,,,,,,,,,,,,,SKU162478,SKU150348,,,,,,,,,,,,,,,,,,,,,,,,SKU105322,,,SKU85761,SKU105321,,,,,SKU105327,,SKU105320,,,SKU117870,SKU117876,,SKU70599,,,,,,,,,SKU2896,,,,SKU61964,,SKU76952,,,,,,,,,SKU119284,,,,,,,,,,,,,,,SKU110262,SKU10330,,,,,,,,,,,,SKU116797,,,,,,,,,,,,
