tt,BrandLocale,AV-US,BB-US,BU-US,CL-CA,CL-US,EL-CA,EL-US,LM-US,MC-CA,MC-US,OR-US,SB-US,AV-CA
1,ENTERINVALIDOFFERCODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE,form--offer_code--field--OFFER_CODE
1,MOB OFFERCODEBUTTON,form_offercode_continue,,,,,,,,,,,,form_offercode_continue
1,ApplyOfferButton1,//input[@data-test-id='form_offercode_continue'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='form_offer_code_apply'],//input[@data-test-id='cart_offer_button_submit'],//input[@data-test-id='form_offercode_continue']
1,InValidOfferMsg,//div[@id='error_invalid_offer_code'],//div[@id='error_invalid_offer_code'],//div[@id='error_invalid_offer_code'],//li[@id='invalid_offer_code..'],//li[@id='invalid_offer_code..'],//p[@class='offer-code__messages js-offer-code-messages'],//p[@class='offer-code__messages js-offer-code-messages'],//div[@id='error_invalid_offer_code'],//div[@id='error_invalid_offer_code'],//div[@id='error_invalid_offer_code'],//p[@class='offer-code__messages'],//div[@id='error_invalid_offer_code'],//div[@id='error_invalid_offer_code']
1,RecommendedProductsAddtobag,input.remove-button.button,,.recommended-item__button.remove_btn.btn.btn-mini.btn--fixed_width,input.button.btn-shopnow,input.button.btn-shopnow,.js-add-to-cart.quickshop__add-button.button.cta.button--dark,,,,,,//div[@class='product-brief__actions']//input[@value='Add to Bag'],input.remove-button.button
1,RecommendedProductsQuickview,,,,,,button.js-quickshop.btn,,,,,,,
1,validOfferMsg,"//div[contains(@id,'error_offer_criteria')]","//div[contains(@id,'error_offer_criteria')]","//div[contains(@id,'error_offer_criteria')]","//li[contains(@id,'offer_criteria')]",,,,[class='loyalty__panel__offers__error'] >li,"//div[conatins(@id,'error_offer_criteria')]","//div[contains(@id,'error_offer_criteria')]",//p[@class='offer-code__messages success'],,"//div[contains(@id,'error_offer_criteria')]"
1,OfferEditButton,"//a[contains(@class,'js-edit-offer')]",,"//a[contains(@class,'link js__edit-offer')]",,,,,//a[@class='link js__edit-offer'],//a[@data-test-id='checkout_offer_code_edit'],,//a[@class='link edit-offer js__edit-offer'],,"//a[contains(@class,'js-edit-offer')]"
1,OFFERCODEASSERT,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,Offer cart offer applied,The discount has been applied.,The discount has been applied,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.
1,CHOOSEDELIVERYMETHOD,form--checkout_shipmethod--field--SHIP_METHOD,form--checkout_shipmethod--field--SHIP_METHOD,,,,form--checkout_shipmethod--field--SHIP_METHOD,form--checkout_shipmethod--field--SHIP_METHOD,form--checkout_shipmethod--field--SHIP_METHOD,,s2id_form--checkout_shipmethod--field--SHIP_METHOD,form--checkout_shipmethod--field--SHIP_METHOD,form--checkout_shipmethod--field--SHIP_METHOD,form--checkout_shipmethod--field--SHIP_METHOD
1,DeliverEveryTime,,,,form_alter_replenishment_select_replenishment,form_alter_replenishment_select_replenishment,,,form_alter_replenishment_select_replenishment,,,form_alter_replenishment_select_replenishment,,
1,DeliverEveryTime1,,,opt_replenish_86408,,,,,,,,,form_alter_replenishment_select_replenishment,
1,REMOVEPRODUCT,//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],"//span[contains(@class,'remove_link')]","//span[contains(@class,'remove_link')]",//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove'],//a[@data-test-id='cart_product_remove']
1,RemoveProductAssert,ritual of rich repair,Long-Wear Cream Shadow Stick,Invisible Dry Shampoo,Clinique My Happy,Clinique Happy  Perfume Spray,Double Wear,Beautiful,The Renewal Body Oil Balm,Studio Fix Fluid SPF 15,Mineralize Volcanic Ash Exfoliator,Frothy Face Wash,,ritual of rich repair
1,ProductUrl1,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT5339&SKU_ID=SKU87376,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT14358&SKU_ID=SKU88561,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT19059&SKU_ID=SKU94981,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT1575&SKU_ID=SKU11688,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT1609&SKU_ID=SKU61106,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT932&SKU_ID=SKU74897,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT28394&SKU_ID=SKU119000,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT14950&SKU_ID=SKU44195,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT28373&SKU_ID=SKU45405,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT18164&SKU_ID=SKU85169,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT26586&SKU_ID=SKU129742,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT17642&SKU_ID=SKU76673,/shared/prodcat/sku_info.tmpl?CATEGORY_ID=CAT5339&SKU_ID=SKU87376
1,editaddress,,,,,,,,,,,,,
1,ClosePopup,,,,,//a[@class='close-link'],,,,,,,,
1,APOaddressvalidation,,,,,,,,,,,,,
1,placeOrderValidation,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,Accountpagevalidation,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/loyalty/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,,/account/index.tmpl,/account/index.tmpl
1,CartCheckoutButton,,,,,,,,,,,,,
1,orderConfirmationMsgid,//span[@data-test-id='order_id'] | //a[@data-test-id='order_id'],//*[@data-test-id='order_id'],//span[@data-test-id='order_id'] | //a[@data-test-id='order_id'],//span[@data-test-id='order_id'] | //a[@data-test-id='order_id'],//*[@data-test-id='order_id'],//span[@data-test-id='order_id'] | //a[@data-test-id='order_id'],//span[@data-test-id='order_id'] | //a[@data-test-id='order_id'],//span[@class='link'] | //a[@class='link'],//span[@class='confirmation-panel__order-number confirmation-panel__confirm-text confirmation-panel__confirm-text--not-signedin'] | //span[@class='confirmation-panel__order-number confirmation-panel__confirm-text confirmation-panel__confirm-text--signedin'],//span[@class='confirmation-panel__order-number confirmation-panel__confirm-text confirmation-panel__confirm-text--not-signedin'] | //span[@class='confirmation-panel__order-number confirmation-panel__confirm-text confirmation-panel__confirm-text--signedin'],//span[@data-test-id='order_id'] | //a[@data-test-id='order_id'],//span[@class='link order-number'] | //a[@class='link order-number'],//span[@data-test-id='order_id'] | //a[@data-test-id='order_id']
1,dobMonth,,,,,,,,,,,,BIRTH_MONTH,
1,dobDay,,,,,,,,,,,,BIRTH_DAY,
1,ACMOBNavigateSigninurl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl,/account/signin.tmpl
1,isShoppable,//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3]
1,OrderConfirmationMsgid1,.confirm_text,"//p[contains(@class,'confirmation-panel__confirm-text--not-signedin')] | //p[contains(@class,'confirmation-panel__confirm-text--signedin')]","//p[contains(@class,'confirmation-content__confirm-text--not-signed-in')] | //p[contains(@class,'confirmation-content__confirm-text--signed-in')]",#confirmation-number,#confirmation-number,"//p[contains(@class,'confirmation-panel__confirm-text--not-signedin')] | //p[contains(@class,'confirmation-panel__confirm-text--signedin')]","//p[contains(@class,'confirmation-content__confirm-text--not-signed-in')] | //p[contains(@class,'confirmation-panel__confirm-text--signedin')]",#confirmation-number,.confirmation-panel__content,"//div[contains(@class,'content confirmation-panel__content checkout__panel-content')] | //div[contains(@class,'confirmation-panel__confirm-text--signedin')]","//p[contains(@class,'confirmation-content__confirm-text--not-signed-in')] | //p[contains(@class,'confirmation-content__confirm-text--signed-in')]","//p[contains(@class,'confirmation-panel__confirm-text--not-signedin')] | //p[contains(@class,'confirmation-content__confirm-text--signed-in order-number')]",.confirm_text
1,ReturnUserselectaddress,,,,,,,BILLING_ADDRESS_ID,,,,,,
1,AddTitle,,,,,,,,,,,,,
1,UseReload,,,,,,,TRUE,,,,,,
1,UseReload1,,,,,,,,,,,,,
1,prodcatUrl,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=
1,loyIndexUrl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/loyalty-landing,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,,/account/loyalty/index.tmpl
1,viewCartPageUrl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl
1,productUrl,"//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a","//table/tbody/tr[contains(.,'displayableProduct')]/td[last()]/a"
1,noDisplayableProductError,"//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]","//p[contains(text(),'NO DISPLAYABLE PRODUCT')]"
1,clickCartpageLink,//a[@class='button button--inverted button--full'],//a[@data-test-id='cart_overlay_viewcart'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//span[@class='utility-nav__cart-icon'],//span[@class='utility-nav__cart-icon'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='home_gnav_carticon'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='gnav_bag_checkout'],//a[@class='button button--inverted button--full']
1,clickCartpageLinkMob,//a[@class='button button--inverted button--full'],//a[@data-test-id='cart_overlay_viewcart'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//span[@class='utility-nav__cart-icon'],//span[@class='utility-nav__cart-icon'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='home_gnav_carticon'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='gnav_bag_checkout'],//a[@class='button button--inverted button--full']
1,addToBagSPP,//a[@data-test-id='add-to-cart'],//a[@data-test-id='add-to-cart'],//a[@data-test-id='add-to-cart'],//button[@data-test-id='add_to_bag_btn'],//button[@data-test-id='add_to_bag_btn'],"//button[contains(@data-test-id,'add')]","//button[contains(@data-test-id,'add')]",//a[@data-test-id='add-to-cart'],//a[@data-test-id='add-to-cart'],//a[@data-test-id='add-to-cart'],//a[@data-test-id='add-to-cart'],//button[@data-test-id='add_to_bag_btn'],//a[@data-test-id='add-to-cart']
1,cartcountValue,"//span[contains(@class,'gnav-util__icon__cart-count')]",//*[@class='gnav-cart site-utils__item--cart js-site-utils__link'],"//span[contains(@class,'gnav-util__icon__cart-count gnav-util__cart-icon icon')]","//*[contains(@class,'header-gnav-cart__count')]","//*[contains(@class,'header-gnav-cart__count')]","//*[contains(@class,'utility-nav__cart-count')]","//div[contains(@class,'utility-nav__cart-count page-utilities__cart-count')]","//span[contains(@class,'gnav-util__icon__cart-count')]","//*[contains(@id,'site-bag-count')]","//*[contains(@id,'site-bag-count')]","//span[contains(@class,'utility-nav__cart-count js-cart-count')]","//span[contains(@class,'js-gnav-util__cart-count')]","//span[contains(@class,'gnav-util__icon__cart-count')]"
1,isDisplayable,//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3]
1,ccDetails,"//button[contains(@class,'js-chckt-button--submit')]",//input[@data-test-id='form_checkout_billing_continue' or @class='btn-primary btn js-submit-payment' or @value='Continue'] | //input[@data-test-id='form_checkout_confirm' or @class='btn-primary btn' or @value='Place Order'] | (//input[@data-test-id='form_checkout_confirm'])[2],"//*[contains(@class,'adyen-checkout__button adyen-checkout__button--pay')]",.acac-paypal-express-button.elc-button-spinner,.acac-paypal-express-button.elc-button-spinner,//input[@data-test-id='form_checkout_billing_continue' or @class='btn-primary btn' or @value='CHECKOUT WITH CREDIT CARD'],//input[@data-test-id='form_checkout_billing_continue' or @class='btn-primary btn' or @value='CHECKOUT WITH CREDIT CARD'],"//*[contains(@class,'elc-radio-pay-button elc-button-spinner')]","//button[contains(@class,'js-chckt-button--submit')]","//button[contains(@class,'js-chckt-button--submit')]","//*[contains(@class,'chckt-button-container js-chckt-button-container')]//button",(//input[@data-test-id='cart_payment_button_submit' or @value='Continue'])[2] | //input[@data-test-id='form_checkout_confirm' or @value='Place Order'],"//button[contains(@class,'js-chckt-button--submit')]"
1,adyenpaymentdetails,,,"//*[contains(@class,'adyen-checkout__button adyen-checkout__button--pay')]",,,,,,,,,,
1,focusingbeforccvalue,"//span[contains(@class,'chckt-pm__name js-chckt-pm__name')]",,//*[@data-test-id='pp_radio_button_cc'],"//*[contains(@class,'chckt-pm__name js-chckt-pm__name')]",,,,,"//*[contains(@class,'chckt-pm__name js-chckt-pm__name')]",//*[@data-test-id='pp_radio_button_radial'],"//*[contains(@class,'chckt-pm__name js-chckt-pm__name')]",,"//span[contains(@class,'chckt-pm__name js-chckt-pm__name')]"
1,cctabvalue,0,,0,1,1,,,,0,2,3,,0
1,mmyytabvalue,1,,0,0,1,,,,1,0,1,,1
1,cvvtabvalue,0,,0,0,0,,,,1,0,0,,0
1,ccTime,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,50000,,30000
1,phonenumberLength,17,17,17,17,17,17,17,17,17,17,17,17,17
1,profilePopupClose,,,,,,button#cboxClose,button#cboxClose,button#cboxClose,,,,,
1,loyaltySection,[class='aveda-plus-join-in'],//*[@id='loyalty__panel__points'],.loyalty__panel__points,.loyalty__panel__points,[data-test-id='loyalty-tier-info'],.e-list_signed-left,.e-list_signed-left,section#loyalty__panel__points > .loyalty__panel__landing__content,[data-test-id='loyalty-dashboard-loyalty-points-info'],[data-test-id='loyalty-dashboard-loyalty-points-info'],//*[@class='loyalty__points__section clearfix'],//*[@class='loyalty-panel__content'],[class='aveda-plus-join-in']
1,loyaltyPointsIndexpage,,//*[@class='points__current'],//*[@class='loyalty__panel__points__status__available--amount'],//*[@class='star-points'],"//*[contains(@class,'js-loyalty-points-info-value')]",.points>.points__current,.points>.points__current,.loyalty__panel__landing__user__earned,.elc-loyalty-points-info-value.js-loyalty-points-info-value,.elc-loyalty-points-info-value.js-loyalty-points-info-value,//*[@class='js-loyalty-available-points'],//*[@data-test-id='account_loyalty_points'],
1,tier1StatusId,,//span[@class='loyalty__panel__points__title__level tier-1'],//*[@class='loyalty__panel__points__tier__available--name'],//*[@class='loyalty__panel__points__bg__slide__content'],"//*[contains(@class,'js-loyalty-tier-info-current-tier-text')]",[class='tier-1'],[class='tier-1'],.loyalty__panel__landing__user__title.loyalty__panel__landing__user__title__tier-1,.js-loyalty-tier-info-tier-text.tier-active > div.js-loyalty-tier-info-tier-name,(//*[@class='elc-loyalty-tier-info-tier-name js-loyalty-tier-info-tier-name'])[1],//*[@class='loyalty__points__status loyalty__points__status tier-1'],//*[@class='points-overview__tier-title'],
1,rewardSection,,,//*[@href='/account/loyalty/index.tmpl'],//*[@aria-label='My Rewards'],,,,,,,,,
1,loyaltyGnav,,,,,"//*[contains(@class,'content-block__links')]/a[@href='/account']",,,,,,,,
1,accountProfile,,,,//*[@data-test-id='my_account_link'],[href='/loyalty-landing'],,,,,,,,
1,RewardSectionMob,,(//*[@href='/account/loyalty/index.tmpl'])[2],//*[@href='/account/loyalty/index.tmpl'],"//*[contains(@class,'loyalty-points-info-rewards-link')]",,//a[@href='/account/loyalty/index.tmpl'],//a[@href='/account/loyalty/index.tmpl'],,,,,,
1,loyFirstname,,,,,,,,,,,[data-test-id='form_firstname'],,
1,loyLastname,,,,,,,,,,,[data-test-id='form_lastname'],,
1,loyaltyEmail,,,,,,,,,,,//*[@id='form--registration_short--field--PC_EMAIL_ADDRESS'],,
1,loyaltyPWD,,,,,,,,,,,//*[@id='form--registration_short--field--PASSWORD'],,
1,loyaltyCheckbox,,,,,,,,,,,[for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],,
1,loyaltyLoginButton,,,,,,,,,,,//*[@data-test-id='form_registration_continue'],,
1,registerGnav,.site-header__utility-signin,//*[@class='gnav-utility-item__trigger-label--text js-gnav-util-item-text'],//*[@class='gnav-util gnav-util--account js-gnav-util__account'],.gnav-block__courtesy-navigation-list [aria-label='Sign in'],//*[@class='text-link--style-2 gnav-block__courtesy-navigation-link' and @aria-label='Sign in'],//*[@data-test-id='gnav_account_menu_login'],[class='signed-out-link'],(//*[@href='/account/signin.tmpl'])[1],//*[@class='site-my-mac__link-label no-js-element'],//*[@class='site-my-mac__link-label no-js-element'],"//*[contains(@href,'/account/signin.tmpl')]",//*[@data-test-id='home_myaccount_button_register'],[class='site-header__utility-item user-loyalty__guest site-header__utility-signin']
1,loyaltyRegistrationFirstName,#form--registration_short--field--FIRST_NAME,,,,,//input[@id='form--registration--field--FIRST_NAME' or @data-test-id='form_firstname'],//input[@id='form--registration--field--FIRST_NAME' or @data-test-id='form_firstname'],//input[@id='form--registration_short--field--FIRST_NAME' or @data-test-id='form_firstname'],//input[@id='form--registration_short--field--FIRST_NAME' or @data-test-id='form_firstname'],//input[@id='form--registration_short--field--FIRST_NAME' or @data-test-id='form_firstname'],//input[@id='form--registration_short--field--FIRST_NAME' or @data-test-id='form_firstname'],,//input[@id='form--registration_short--field--FIRST_NAME' or @data-test-id='form_firstname']
1,loyaltyRegistrationLastName,,,,,,,,//input[@id='form--registration_short--field--LAST_NAME' or @data-test-id='form_lastname'],,,//input[@id='form--registration_short--field--LAST_NAME' or @data-test-id='form_lastname'],,
1,loyaltyRegisterEmailId,#form--registration_short--field--PC_EMAIL_ADDRESS,//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//*[@id='form--registration_short--field--PC_EMAIL_ADDRESS'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email']
1,loyaltyRegisterPWD,#form--registration_short--field--PASSWORD,//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password' or @name='PASSWORD'],//input[@id='form--registration--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],//*[@id='form--registration_short--field--PASSWORD'],//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password']
1,LoyaltyRegisterEmailId1,,,,,,,,,,,,,
1,LoyaltyRegisterPWD1,,,,//input[@id='form--registration_short--field--ACCEPTED_PRIVACY_POLICY_PRESENT'],//input[@id='form--registration_short--field--ACCEPTED_PRIVACY_POLICY_PRESENT'],,,,,,,,
1,loyaltyRegisterationTerms,,//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],[for='form--registration--field--ACCEPTED_LOYALTY_POLICY'],//*[@for='form--registration--field--PROMO_AND_LOYALTY_JOIN'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],[for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],[for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],[class='field signin-block__checkbox-display js-loyalty-flag'],
1,accRegTerms,,,//*[@for='form--registration_short--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration_short--field--ACCEPTED_PRIVACY_POLICY'],,,,[for='form--registration_short--field--ACCEPTED_PRIVACY_POLICY'],,,,[id='form--registration_short--field--PC_EMAIL_PROMOTIONS'],
1,loyaltyRegisterButton,[data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue' or @class='sign-in-page__submit js-sign-in-page__submit' or @value='Sign Up'],//*[@data-test-id='form_registration_continue'],//input[@data-test-id='form_registration_continue' or @class='button form-submit' or @value='Join Now'],//input[@data-test-id='form_registration_continue' or @class='button form-submit' or @value='Join Now'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],[data-test-id='form_registration_continue']
1,LoyaltyMRegisterEmailId1,,,,,,,,,,,,,
1,LoyaltyMRegisterPWD1,,,,,,,,,,,,,
1,loyaltyRegisterNow,//div[@class='js-new-account-link sign-in-page__link'],//*[@class='js-new-account-link sign-in-page__link'],.signin-block__register__link.js-signin-block__register,//*[@data-test-id='form_signin_registernow'],//*[@data-test-id='form_signin_registernow'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],,//*[@class='js-new-account-link sign-in-page__tab_link'],//*[@class='js-new-account-link sign-in-page__tab_link'],//*[@class='js-new-account-link sign-in-page__link'],//*[@data-test-id='registration_link'],//*[@class='js-new-account-link sign-in-page__link']
